item,name,group,klub_short,district,districtLabel,gender,dob,dobPrecision,psid
Q103056893,Szymon Pogoda,Q108524676,PiS,,,,1985-09-22T00:00:00Z,11,Q103056893-CCF131C3-A1C7-421E-945A-1D5195CE64B0
Q105087004,Łukasz Mejza,Q327591,bezpartyjny,,,male,1991-05-15T00:00:00Z,11,Q105087004-CC35681F-7676-48CA-95E4-283B44EF047B
Q1058052,Cezary Grabarczyk,Q108524655,KO,,,male,1960-04-26T00:00:00Z,11,Q1058052-F6F08991-999A-493D-921D-7927EE67C2C7
Q106702113,Anna Wojciechowska,Q108524655,KO,,,female,1960-02-29T00:00:00Z,11,Q106702113-ddc65498-4721-a98a-28d6-18f444085e91
Q1166028,Dariusz Bąk,Q108524676,PiS,,,male,1958-01-04T00:00:00Z,11,Q1166028-528DFECF-9F27-42C1-8F3F-EF69677B6A3B
Q1166062,Dariusz Rosati,Q108524655,KO,,,male,1946-08-08T00:00:00Z,11,Q1166062-B7984AD1-4A91-46B7-A0B2-2B93F4A16DDE
Q11687458,Bartłomiej Dorywalski,Q108524676,PiS,,,male,1979-08-16T00:00:00Z,11,Q11687458-DA1814AF-77E6-455A-A146-7E3949680146
Q11688652,Borys Budka,Q108524655,KO,,,male,1978-03-11T00:00:00Z,11,Q11688652-60D6CED4-DBE5-4ECA-901B-BDD5AD25019E
Q11688711,Bożena Borys-Szopa,Q108524676,PiS,,,female,1954-03-11T00:00:00Z,11,Q11688711-68D9F0A8-81BA-4C44-895D-0581B9C7C6A0
Q11694886,Dorota Niedziela,Q108524655,KO,,,female,1964-08-20T00:00:00Z,11,Q11694886-6C2FEBE2-BEFA-44C1-AF88-C2716AAEBF1C
Q11702806,Grzegorz Adam Woźniak,Q108524676,PiS,,,male,1968-12-18T00:00:00Z,11,Q11702806-70F6422A-0757-48B6-A0A2-0E4D83F099EE
Q11714567,Iwona Maria Kozłowska,Q108524655,KO,,,female,1963-08-11T00:00:00Z,11,Q11714567-A60C291D-4C00-49E1-85BF-7FB08571368B
Q11714680,Izabela Leszczyna,Q108524655,KO,,,female,1962-09-03T00:00:00Z,11,Q11714680-82B9C606-46DD-40A5-BE01-719F1447D022
Q11714684,Izabela Katarzyna Mrzygłocka,Q108524655,KO,,,female,1959-05-20T00:00:00Z,11,Q11714684-1DF7C9F2-BBBF-4AED-92C1-622F2B995954
Q11715257,Jacek Czerniak,Q108524674,Lewica,,,male,1964-08-30T00:00:00Z,11,Q11715257-D252894A-E8C5-4012-84DC-F34F782D9034
Q11715493,Jacek Osuch,Q108524676,PiS,,,male,1958-08-28T00:00:00Z,11,Q11715493-F2305081-CB12-4497-99F8-1D02A6FF89EA
Q11715524,Jacek Protas,Q108524655,KO,,,male,1964-01-15T00:00:00Z,11,Q11715524-7A30132F-E614-452F-981B-75C19A55804A
Q11715561,Jacek Sasin,Q108524676,PiS,,,male,1969-11-06T00:00:00Z,11,Q11715561-8FE4054C-EF81-4B6B-8A79-48BB49E5B8F6
Q11715706,Jacek Świat,Q108524676,PiS,,,male,1955-12-16T00:00:00Z,11,Q11715706-BB04E35B-C5B1-4D54-BB2C-652881A8A32C
Q11717579,Jan Grabiec,Q108524655,KO,,,male,1972-11-02T00:00:00Z,11,Q11717579-C8ED1B6F-BABA-4CF7-8BA2-A12271AFAE48
Q11718157,Jan Krzysztof Ardanowski,Q108524676,PiS,,,male,1961-02-11T00:00:00Z,11,Q11718157-BAA21438-922E-460E-854D-CB0C19855565
Q11719361,Jan Warzecha,Q108524676,PiS,,,male,1959-04-21T00:00:00Z,11,Q11719361-D5576115-5F46-44CF-93E5-1D2D852A169B
Q11720108,Janusz Cichoń,Q108524655,KO,,,male,1957-01-07T00:00:00Z,11,Q11720108-BA66030F-E744-4AEF-A48E-5D220D880484
Q11724399,Jerzy Borowczak,Q108524655,KO,,,male,1957-11-15T00:00:00Z,11,Q11724399-C6480846-ADBB-4E4C-BCD3-95B631F95D37
Q11727452,Joanna Lichocka,Q108524676,PiS,,,female,1969-11-21T00:00:00Z,11,Q11727452-22F5B0BD-F2F0-4D7E-BB69-C247EEC3434C
Q11738333,Kazimierz Smoliński,Q108524676,PiS,,,male,1955-07-15T00:00:00Z,11,Q11738333-F06DA06E-7485-4E56-B85C-AE87C2151A11
Q11748767,Krystyna Sibińska,Q108524655,KO,,,female,1962-06-12T00:00:00Z,11,Q11748767-4F149D59-3635-4A81-8658-0FE4E6E0D151
Q11749225,Krzysztof Grabczuk,Q108524655,KO,,,male,1962-04-22T00:00:00Z,11,Q11749225-504B5133-9A92-4ECC-A673-20BA9797434D
Q11765480,Maciej Lasek,Q108524655,KO,,,male,1967-06-15T00:00:00Z,11,Q11765480-74A7B8C6-9103-408E-9AAF-CCDB685FCAF8
Q11765509,Maciej Małecki,Q108524676,PiS,,,male,1974-10-09T00:00:00Z,11,Q11765509-13BEFB0C-50DA-403D-998E-472CF896AAED
Q11767619,Marcin Kierwiński,Q108524655,KO,,,male,1976-08-22T00:00:00Z,11,Q11767619-5DA1D328-7DCF-4013-8569-EA6AFF587F21
Q11768108,Marek Dyduch,Q108524674,Lewica,,,male,1957-08-27T00:00:00Z,11,Q11768108-324698F8-2145-44CC-A60A-5F5E317B22F1
Q11768165,Marek Hok,Q108524655,KO,,,male,1953-06-15T00:00:00Z,11,Q11768165-C8816E81-2A88-4C30-8167-F6E57855D274
Q11768254,Marek Krząkała,Q108524655,KO,,,male,1967-10-22T00:00:00Z,11,Q11768254-68BB05B5-65C0-4D47-87F1-9F49DD223043
Q11768433,Marek Rząsa,Q108524655,KO,,,male,1957-10-04T00:00:00Z,11,Q11768433-B27B4B63-A551-4DF5-84F7-DA10AB8C1727
Q11768474,Marek Sowa,Q108524655,KO,,,male,1967-02-04T00:00:00Z,11,Q11768474-056D121F-8357-476A-8E09-E07F66532C74
